,CPI,Unemployment,GDP,Interest_Rate
A,0.03149339406476845,-0.019565717277977453,-8.579503875544986e-05,0.060139571583049826
AA,0.11655127609551391,0.24155857983353926,-0.00024225151254850252,0.15423981221906585
AB,0.07169384497589452,0.040890885776494405,-0.00015109755357169824,0.12301145071367703
ABCB,0.04559132355788285,0.038863334776648925,-7.856046603046951e-05,0.0018920679573154076
ABEV,0.019955369513255338,-0.008171094531936289,-2.427927242434555e-05,-0.13252417296535843
ABM,-0.018056808348292232,0.042624417648249736,3.844185256440119e-05,0.029793453047079557
ABT,0.06915771108701939,-0.04519289774526212,-0.00015076831702163368,0.04497180322061209
ADC,-0.02070556790279261,0.06662953753513912,4.1982747482377514e-05,0.06371407292820709
ADM,-0.0745879070146507,0.11550204007653542,0.0001315177812448859,0.0007887251835649203
ADX,0.0925540829801619,-0.09253786614956347,-0.00017773515234772996,-0.004848582432087901
AEE,-0.03528005193048861,0.10114841623063633,6.637294493030965e-05,0.1239685233577391
AEG,0.0403404653312948,0.02357147352894495,-6.60283862279655e-05,-0.05315729536081549
AEM,-0.026617382419793962,-0.017942637062900377,5.4377588679696554e-05,0.09377707931794016
AEO,0.22170574620765082,-0.28206885650642083,-0.0004450762672513764,-0.16143308765804673
AES,-0.07621365639811242,0.04835484573538475,0.00012527722209636216,0.0371336282727703
AFG,0.01939299538515509,0.22671081759600842,-2.9065687614293623e-05,0.08080502251875733
AFL,-0.014502230225620936,0.10883713241675524,4.65385353629888e-05,-0.003145311421904556
AGCO,-0.03920190584534383,-0.0028656947354481852,5.478364866668903e-05,0.0013636481944288468
AGM,0.19345657357742338,-0.09508037412619133,-0.00035413786354131227,-0.21111207203407842
AGX,-0.056301920573229906,0.13922789732832777,0.00014134858769479508,0.4029357595708714
AIG,0.021532970396054008,0.12433544773031327,-2.5718666884624874e-05,-0.023816131655839186
AIN,0.0007861115075423002,0.02793371757790702,-2.663071007567852e-06,-0.04758693129705092
AIR,0.042673476013127355,-0.03617211931823321,-6.107122179733332e-05,-0.15052707808387644
AIT,0.023008993908975095,0.004289790005450305,-3.603152891258968e-05,-0.0099092384879244
AIV,0.05931371832726443,0.0325520384987045,-0.00011532355295939406,0.025374201618408664
AJG,0.027717450891021445,-0.0008014920736452021,-6.0209897456841785e-05,0.03430844558768842
AKR,0.12061699594182161,0.10119935129511443,-0.00020207931302802795,0.021274333738405402
ALB,0.031123620932691692,-0.08542144676130921,-0.00013341971108846162,0.12075835299278512
ALE,-0.0036765722815826616,0.0708019808839358,1.9259036238478133e-05,0.010980394757816836
ALG,0.10562349967908173,-0.16321332295236435,-0.00019975657583037876,-0.170242502480407
ALK,-0.01709022790259266,0.12501864572766277,5.178492213089858e-05,0.17402733374913812
ALL,-0.041152704914996154,0.08476137928661853,9.03432634006135e-05,0.07310002331388474
ALV,0.15140685405940846,-0.1873226646482024,-0.0002915742482562378,-0.16137644983780342
ALX,0.028404289269470254,-0.012875950474240252,-4.892412209436814e-05,-0.022653168450792203
AME,0.055255482431303383,-0.05439111948650899,-0.00011328114734829309,-0.008349886994751362
AMG,0.03556808447394687,0.08194659063567589,-7.957444948347714e-05,0.10054802720118722
AMT,0.09316621308530289,-0.03199303274826154,-0.00018525458702376568,-0.03041558196752415
AN,0.13420078653763517,-0.09191736601981099,-0.0002733420903260897,-0.037539465273086624
ANF,0.5899441424683222,-0.675448624580226,-0.001073384592512383,-0.688035486787569
AON,0.013890103362074436,0.09479307202219624,-2.6006037547043892e-05,0.07720729554345244
AORT,0.12327045943718408,-0.11278415511817001,-0.00021386295568881497,-0.0034829064726280504
AOS,0.2023979064526225,-0.15696782725491054,-0.000397795100439996,-0.14584394337185677
AP,0.13159930246118087,-0.3018511564432621,-0.00030516105776312585,0.010117352311537712
APD,-0.01625964652942177,0.027185665622191196,2.0758310827581616e-05,0.0667600536673196
APH,0.08580500524610121,-0.04192692684389791,-0.00016509241304514533,0.03295296698673459
ARE,0.08358392227017833,-0.04605173073289518,-0.00017955781354098838,0.01244980853942078
ARL,-0.25104069499029835,0.33300673126935126,0.0005061798204391565,-0.008125966226047733
ARW,0.10886757239454341,-0.07084791429947275,-0.00021955944579164777,-0.04160802088400763
ASA,0.059836830514435016,-0.13602820679709185,-0.00014390580252421348,0.1357853059368371
ASB,-0.0002119808507581918,0.12410925403077061,1.1704080439434161e-05,0.03568180929942534
ASG,0.1239858997178832,-0.13047529750353112,-0.0002586451390005351,0.0456108070943725
ASGN,0.1458733306870242,-0.09508133165367999,-0.00029526534337588617,-0.0501392474714656
ASH,-0.0022503271689738556,0.07908769625929787,-7.120716751463085e-06,0.04238691701258185
ATGE,0.036073950837573414,-0.08039364970289267,-3.8876781628810475e-05,-0.0907947862668787
ATI,-0.10454668546972247,0.06909698891853423,0.0002404938366250553,-0.1676618268606813
ATO,-0.013244355812633375,0.07227869314970672,3.863530418451999e-05,0.024006724142081055
ATR,0.022215196197960585,-0.06191030844530183,-4.556951887467464e-05,0.045831182192395514
AU,-0.01141521539551581,0.02356384140468995,2.4366440244640714e-05,0.07322966532681056
AUB,0.027133823890345465,0.021542273181389647,-4.5437713598491664e-05,-0.011635164560739434
AVA,-0.04289750818880902,0.1048270032205963,8.798127601122863e-05,0.05379909900490641
AVB,0.13830694649801648,0.03367499318842527,-0.00025477472885060415,-0.005600020215416666
AVD,-0.12092134667873151,0.15551513410198808,0.0002258105187403492,-0.015371968249206659
AVNT,0.15663753694470703,-0.10595148615064967,-0.0003093490285536876,-0.0466401645824579
AVY,0.09089192325760241,-0.053676907376643546,-0.00018772173221542204,-0.02410262644709016
AWF,0.06667136971686566,-0.05388558571324372,-0.00012657890836947905,-0.010735091298612203
AWR,0.022115994689095378,0.06856996691313856,-4.476787132583204e-05,0.036860399310389584
AXL,0.08056490846470074,-0.053763793363209106,-0.00014931240432065201,-0.1346407623624278
AXP,0.06279528883186482,0.04202454808892001,-0.00010554435137134777,0.06542440276685076
AXR,0.24705147510922176,-0.19927326423099775,-0.00047566103991777964,-0.11641674909601102
AZO,0.01633055135482096,0.1544246870916985,-2.659823115069848e-05,0.05019148439251254
AZZ,0.12730299504847342,-0.09958107033661319,-0.0002337251946116642,-0.026379265047104087
BA,0.08575251997885612,-0.10114207062935207,-0.00014485923084876784,-0.2254332337352931
BAC,0.07498534899453892,0.07851277246704345,-0.0001368193316871047,0.07530571685857004
BAK,0.2593544060095383,0.12638324489231018,-0.0005057573535161008,-0.10522728204151074
BALL,0.1288602474141525,-0.19899362305454402,-0.00027576883183375034,0.009480165871364533
