,CPI,Unemployment,GDP,Interest_Rate
AA,0.06419017939783307,8.138963763132887,-0.0005105086497838585,3.085382355209096
AEM,0.04621814569999089,-1.241891557362092,0.0001542395884490677,-0.15499369961442333
AIG,-0.11078574121773577,0.5392752476056483,8.197578057655974e-05,0.0016288110586382956
ALE,0.13144743775252896,4.323354580126438,-0.000688277754826494,1.5518285599544481
ALX,0.08697880937736664,3.0533836414382263,-0.00029874429717535733,1.009242525152757
AP,0.0635159134117956,-0.7439490341518216,-0.00017528261098898046,-0.3609467282679061
ASA,0.5363907216289505,-0.9905089902924319,-0.0010491732644716256,-0.054032080750597795
AVA,0.11183762452422846,2.9818024523336626,-0.0005710673260308496,0.8852793919023492
AVY,0.028349525407996665,-0.4798922529577698,4.157492809964136e-05,-0.1002364344483392
AWR,0.008203692628794793,0.1765106795694152,-4.618978885120861e-05,0.027708504796216924
AXP,0.09999542105688575,0.866430354588242,-0.0003285454558092926,0.1765407503447129
AXR,0.08071262105397536,7.6088309632570885,-0.0003826753689182283,3.001762150824305
BA,-0.09139656266380679,-1.331530837136793,4.2634145264619505e-05,-0.8596278159562962
BAC,-0.03983526326251531,1.5703025083647497,0.00012309228505058556,0.7179259561862312
BALL,-0.05442596611928415,-1.266060436627682,0.0002824314281424378,-0.37005800506627795
BDX,-0.12528025571461904,0.2098758613801414,0.00021042185274366965,-0.09408924704659498
BK,-0.11736362639653822,2.623578909341202,-2.744621657013724e-05,0.7262398493155916
BKH,-0.2008337305534032,-2.001560421670927,0.00021607010542679106,-1.1591507847934568
BMI,0.10588185451440343,-2.254215397905587,-2.106379069122255e-05,-0.8223312658465775
BMY,-0.13145664514566371,3.1640037806088768,2.8769070974821176e-05,0.9901061411379326
BP,-0.03372429986620992,1.7896802211427192,4.5223886425915794e-05,0.6615777126511558
BRT,0.3094130880791039,11.882042140395056,-0.0011948903638803188,4.653055825117605
C,-0.06557901680907162,3.2974913864124358,-8.41681947321149e-05,1.1257796193678482
CAT,0.049208209190156504,6.339162681414976,-0.0004081912385665021,2.342027883284263
CHE,-0.09399886462470365,-0.3462179249287625,0.0002145255688585368,-0.24984608914000023
CL,-0.040258701144877056,-0.4493429155938132,9.638573064080225e-05,-0.21651095317062694
CLF,0.1138295616791999,7.001004292414961,-0.0005032958195227977,2.4559091026570994
CLX,0.011112403766315624,1.430807953075997,2.2840927066170025e-05,0.622816205627519
CMI,-0.1723432475241029,4.1009717727383075,0.0002885471823947938,1.4302545914142857
CMS,-0.3479546572756036,-0.5002743207733308,0.0007640430127147102,-0.38379649518213693
CNA,-0.057343498025662194,-1.3187156049345308,0.00015570720117485948,-0.6050175901857544
CNP,-0.35104517100753874,-0.7045510589331601,0.0005003239033817275,-0.7595430581631919
CRS,-0.26571076172577845,6.516561417234069,0.00019452879986037175,2.0180675066850933
CSL,0.14718950906861458,1.8611721179781475,-0.000506823333512374,0.5924663135211027
CVS,-0.02903571425925773,-0.21047734369922566,-0.00014850389642526163,-0.4516047464847236
CVX,-0.1369361065589713,2.679061782724032,0.00020584443496129978,0.9518968719446983
CWT,-0.10593878683094782,-0.07230388176567822,0.0002901574214277669,-0.08878674907067838
DCO,0.31936046966656073,1.7642183080967486,-0.0008209329494563988,0.7146231126275634
DD,0.019796397536576152,2.9747965926275346,-0.0001510694114790212,1.0820549481116828
DE,0.0730951771910441,2.0498524057954866,-0.00028711663749581007,0.7101813059304168
DHR,0.007002654811818385,0.00584013018120287,-0.00013696234888776158,-0.18691073103126332
DIS,-0.005709838631561491,2.262819190032327,-0.00014569966723776417,0.6892436642934664
DTE,-0.07459873316890224,-2.442576057661958,0.00024804656494392674,-0.955817938004074
ECL,0.03442513814226837,-1.8659329113597496,-3.7094788567504366e-06,-0.7652775635040522
ED,-0.007210426011804881,-0.4358031039322185,1.422066652728704e-05,-0.177079890865817
EGP,0.014630844086589077,0.44448964867792834,-9.759643531992435e-05,0.09820163958447457
EIX,-0.02018720233739209,5.719371358375859,-0.00012056527783865789,2.0981974354571897
EMR,-0.016125955795074292,0.2183199298946287,-0.00013086170565571043,-0.14753432703252986
ES,0.06571997753189687,2.0206593634346732,-0.0003622719369804628,0.601186532397933
ETN,-0.08526837064813313,2.361447342984869,0.00015921891142989253,0.9364647311670645
ETR,-0.013762831980435177,-1.6516323040294252,-6.999101885196701e-05,-0.8401031390560353
F,0.10480905638050474,7.099526655840293,-0.0006233632371515085,2.546504838069983
FDX,-0.13714911307625752,0.6620117836109053,0.0003744924154819307,0.27634268786728483
FL,-0.11816975323981235,6.810963491835355,-0.000401907337439944,2.1270479836448186
FRT,0.02961511507320444,1.1526458248908686,-6.231544208201711e-05,0.4722199238700656
FUL,-0.05103124675993501,4.13538355400836,7.607900749917462e-05,1.7705385357380858
GATX,-0.10079961450151552,0.4311232128559711,1.8957857138013345e-06,-0.14229159320189477
GCO,-0.5627173799692213,-8.718044502103549,0.0015220845541055184,-3.7310902247143085
GD,-0.10561744350491033,-0.8405350755614022,0.00016341509742490157,-0.4701190884820321
GE,-0.13954113087601905,2.442103540573253,0.00018873712696843015,0.7919195271424186
GFF,-0.2762756747358738,6.2365684556097785,0.000546694541949222,2.610383749678117
GHC,0.13526040077343812,-2.8409482556498036,-0.0002020874042272247,-1.1288530087059845
GTY,-0.10754281451437658,3.6751902206361184,8.580767374422038e-05,1.4500740412840551
GWW,-0.15431080852899937,-1.046688343197533,0.0005612138620743057,-0.2782320787494224
HAL,0.28664175148921456,-2.962458752923902,-0.0005640704399394458,-1.324319677073391
HE,-0.0871701408537741,-1.3259410463843535,0.00021106025820527563,-0.5810753536313094
HPQ,0.15422529150709627,3.0556974337086475,-0.0005031248607334504,1.096523981784362
HRB,-0.16258702533278355,7.9941407750171845,0.0002004170684415385,3.3841118932202328
HUBB,0.07262293740985129,0.8351640883980941,-0.0001665380980270248,0.34706139105999956
IBM,-0.204472027356727,4.578403813583999,0.0003752132128891361,1.8468841902378474
IDA,-0.24437834855112292,0.27347770171996355,0.00025866161008814004,-0.2578353102792459
IFF,-0.020324255790110955,1.0502233434245443,0.0002283711362123242,0.6574705171460976
IP,0.04640897334532845,3.170221848774379,-0.00019561764267495008,1.2407214995743459
ITW,0.002426309844780748,2.732153921339798,-7.828662089703897e-05,1.071170683106365
JNJ,-0.18066208049026444,-0.9099883544515274,0.00046190306335680553,-0.38449483464283163
K,0.026026311746307065,0.4752383268365575,-2.0523958083051852e-07,0.2563650482160478
KMT,-0.18028629362322596,2.2410389643237787,0.0004229046102488532,0.9352997281076378
KO,0.10504010812031679,1.444482507652427,-0.0003817039587483695,0.47180301220419124
KR,-0.08150124636991063,0.7888898188893677,-2.4996390063036777e-05,0.07402622954352711
LLY,-0.029839249360430763,0.8602481158210789,-0.00013230511291340008,0.16462599497500638
LMT,-0.11211952485240761,-2.3359437787610826,0.0003023860257984623,-0.8866469861695431
LUV,-0.2191523240944476,-1.3306671470567193,0.00023473629226811177,-0.8839297582945886
LXU,0.1176790204126185,6.548886107672406,-0.0007729896652790558,2.2165111126268013
LZB,0.03642779204503943,1.408107379060269,-7.606473221577481e-05,0.7298121039016237
MATX,-0.060712372686857086,0.9957083297121074,6.303338422397609e-05,0.2824773987972407
MCD,-0.09216389909749241,3.9662465257092037,2.196341134119706e-05,1.3418204140970627
MDT,-0.11604178198727287,-1.4425438753813782,0.00012758515014033023,-0.7867494141307388
MDU,-0.058811687817937185,0.43301764224011485,-8.796927887966266e-05,-0.09624167420299448
MKC,-0.047157702690151494,0.5672738607535805,7.013636440167392e-05,0.16737856397397521
MMC,0.03507119084913495,1.4767613818290992,-0.0002551102139027872,0.49732283940191074
MMM,0.08858368974051112,2.225530373494899,-0.0003871185587920323,0.7649629739101489
MO,-0.1832531352171779,0.174322566782273,0.00014789459782324488,-0.23956965079673562
MRK,0.07283289655966313,-1.862609725071817,-0.0002743869629682205,-0.8806478663321142
MSA,-0.17807857781076025,10.915805176379255,-2.37270729375183e-05,4.021822205793654
MSB,-0.018051262159647675,-0.7510112565096368,8.279179917769497e-05,-0.49556377239023996
MSI,-0.03794951532045505,5.378960395492039,-5.767143335955183e-05,1.9592243846376454
MTR,-0.0032088885600217516,2.576293188543563,-6.043418278833812e-05,0.9745604761290275
MTZ,0.9485675091002725,32.667205848318616,-0.003894310458036898,11.991786516157562
NBR,-0.08321871581141903,-3.689714349793073,6.0251260315169475e-05,-1.802288788257721
NC,0.0430113519669531,9.713503223822508,-0.0004660295289955485,3.707656493161729
NEE,-0.06128799784212577,-2.8893178090755804,5.892300619070312e-05,-1.3621513865903556
NFG,-0.10116848634123315,-0.439165910203316,0.00011756713905808347,-0.38821024851807456
NI,-0.11354795410926796,-1.7642026173354861,8.708715656280397e-05,-0.9785282157896136
NWN,-3.6697104969759675e-05,-0.32602428487115753,-4.7196164688956266e-05,-0.2070316479452416
NYT,0.10103561423649886,1.5674175786291737,-0.00025183679398499415,0.6932539381975587
OGE,-0.09469807088472736,2.555728869253509,-9.716263146497539e-06,0.7950807307993143
OII,-0.10339629279551041,-1.296771555945628,0.00026918711404810836,-0.5636099919700447
OLN,0.061157669082744365,0.6593275515988329,-0.00025847169301485007,0.09141527203614179
PBI,-0.038236507101980274,3.2086181825092908,5.2484769692107136e-05,1.2961668654980525
PCG,0.03316413050165225,7.490418848082482,-0.00046255259579375263,2.69408653764928
PEG,-0.13237511287395443,1.3470627972126572,9.50830317563156e-05,0.2689648563703157
