,CPI,Unemployment,GDP,Interest_Rate
AA,0.0033924102246887487,-0.4585172461555041,-3.407562855584079e-05,-3.2081315829900574
AB,0.127633827962507,-0.10863592406644307,-0.00023835826482290767,-6.65002226041627
ABM,0.24987754283227498,-0.5939267122441855,-0.0005859295822829846,7.392282771261591
ABT,0.032944664459438756,0.21869729439153612,5.610085499291317e-06,1.5370594817320726
ADM,0.24821388118387425,-0.32418681417304746,-0.00047394781899251504,11.178995112397114
ADX,0.12321304860751822,-0.17822523019374636,-0.0002591808168441734,1.840531693165919
AEG,0.42624292346892717,0.0053200162554446736,-0.0008414017760695761,-2.0046594196529095
AEM,-0.16938720429811305,-0.19887333768945095,0.00017877813385394625,-23.275768694778115
AFG,0.2025212123440228,-0.30657113952484805,-0.0004390393508479362,8.913619266506672
AFL,0.20283809884876416,-0.3053682364728555,-0.00047371916819555215,-0.24309875564157188
AIG,0.24174563694041792,-0.9889581691386288,-0.0007302524503877139,-6.842651181200085
AIN,0.29300853398999677,-0.3424347662443772,-0.0005866306036665936,11.991856281038043
AIR,0.30474149414628493,-0.6068319456392769,-0.0006820361885120363,8.318295260312079
AIT,0.08769393518268336,-0.25568854448142053,-0.0002674510273248387,0.4037189831486856
AJG,0.1547490881162159,-0.2632637503116667,-0.00035259321618197337,7.639538091006049
ALE,0.04912679868369059,-0.14813363226304915,-0.00010993347850626889,4.848417684264485
ALK,0.061672267451356656,-0.5766604273500028,-0.00018932311422592552,7.695481396123415
ALX,-0.1215838488549064,-0.2589891695329635,0.0001660791378483295,-8.867580684264729
AME,0.18806006295029776,-0.3349928636864662,-0.00046794291355573003,1.8940720421247284
AON,0.2160267882058861,-0.27420332211854354,-0.00045184915529344893,5.93995273282366
AOS,0.35919617255984204,-0.17048141930318006,-0.0007376085543080169,4.15836026395102
AP,0.04379199600496641,-0.11100734636319075,-0.00010075248239914403,-3.4358811645806613
APD,0.07269153801245741,-0.34419068871697217,-0.00016687423656802647,3.8989476670945953
ARL,0.6149322797001887,-0.41499474070662207,-0.0011965866561356453,5.619736931829696
ARW,0.17933300895707696,-0.24124046851841505,-0.0003700293479202976,8.457042932599496
ASA,-0.15104010472730986,-0.34640539529563324,0.00015978644846836865,-7.143771502325095
ASB,0.17613762368401314,-0.5371765097221844,-0.0004556307645264823,0.2394063362973514
ASG,0.25482053903256224,-0.4305214399585098,-0.0005810353191652018,6.764161181872751
ASH,0.005640064034565281,0.0016095920653791302,-2.8783961113738182e-05,-4.661245392442964
ATO,0.06117105858880449,-0.13017121969157092,-0.00011276349788844064,3.633891845997329
AVA,-0.029789217542823068,-0.0826711637623543,7.632093436144016e-05,3.6099283316630637
AVD,0.049687976153529816,1.41401967958101,2.0434757387333136e-05,-19.102756870719077
AVY,0.26989585671330973,-0.4244521325765919,-0.0005965430592726473,1.999967476014446
AWR,0.0003562362737167081,0.14468379955938215,4.301422895136575e-05,-5.411504640270716
