,CPI,Unemployment,GDP,Interest_Rate
AA,0.5409534313516882,12.736719226095495,-0.0018787296979336787,4.801851140613258
ABM,-0.1522352252710301,24.175343462319844,-0.00034593313487363275,7.430748160578252
ABT,-0.046086066161997334,32.11441417716776,-0.000906832807523017,10.230031203534033
ADM,0.37886048900595404,18.026094601010435,-0.0016623696883932837,6.392582838421032
ADX,0.18775205295631026,23.499031304756997,-0.0012588720517499041,7.709452090636519
AEM,-0.333880268274674,83.87108895254184,-0.0018403902421084695,26.28361934456168
AFG,-0.2685731540717481,42.620936886188154,-0.0006371259668185303,13.078228914595126
AFL,0.4604198966168841,-18.39229718412329,-0.0007130574567213444,-5.113920323089023
AIG,0.2826573356168368,28.253501688158938,-0.0017159619736055731,9.338428701666535
AIR,0.5280976699319967,-21.073200918515422,-0.0008376355325871998,-6.01493525853928
AIT,0.20680493330167063,8.85409391879104,-0.0008692496053264165,3.077916506456028
AJG,-0.18537111485843244,3.0204565670311694,0.0004174435217501049,0.6712573381796384
ALE,-0.025250606757023963,3.346572389595835,-4.544740025824723e-05,0.9466885839098815
ALK,-0.39759740339743177,17.54204271101284,0.0005705022465178899,4.858620086546913
ALX,-0.4109642782645127,80.76775275013841,-0.0014647465516333114,25.032178435146776
AME,0.5352980268208187,-6.662887042127967,-0.001282817287602711,-1.2918869940239222
AON,0.3965421379937238,-45.100030779892315,0.00028260131810498024,-13.718522222899548
AOS,0.0791432433239846,3.478415573764625,-0.0002901491970761505,1.071354233049376
AP,-0.49631006414652806,151.4172015911631,-0.0034920687213002566,47.466065102240876
APD,0.5194932239075337,17.004698472806087,-0.0019494717740933254,6.145371976308548
ARL,0.25976661638651155,2.557230296288048,-0.0007605681857270064,1.2056404068943924
ARW,0.5917328910850789,-17.578348391255783,-0.0010516913309253084,-4.844720547663342
ASA,0.32495817410295824,-1.8719290800214274,-0.0008238700255640552,-0.23489535893012098
ASB,-0.19662075444916913,20.18092148843147,-0.0001559807522220069,6.180698057287869
ASH,0.42506055504854695,42.91577883552075,-0.002259979299395809,13.538919327011735
ATO,-0.15082541187938425,36.11917320947514,-0.0007153919055156166,11.198554368848738
AVA,-0.3431629422437248,55.41097847964578,-0.000823358710213995,17.082615306948668
AVY,-0.14387237611344622,45.996915778483626,-0.001064748101804014,14.351264093223099
AWR,-0.08135516921904183,20.40169285047922,-0.0004434752876072423,6.3323937367652565
AXP,0.2542939100315183,38.12927675901774,-0.0018041898514482568,12.183249264655517
AXR,-3.0469115272426777,414.4172800569633,-0.005036845808547241,127.52975038040631
AZZ,-1.0091891311459396,195.54939171064,-0.0035235806099933598,60.81511908714622
BA,0.17048440494636563,19.110309988640022,-0.0010946198718286837,6.21055564019702
BAC,0.028194703378050034,40.07583000781635,-0.0013717692060239983,12.720081747202315
BALL,0.008450929639318585,17.827052172039778,-0.0005682223826966037,5.660127807476459
BAX,0.113888247154052,13.354299045178514,-0.0007584451622388855,4.464497177157237
BBWI,-0.12266780813512919,58.50097949864572,-0.0014311073742092617,18.1359797647174
BC,0.3784351432093912,23.020397695321474,-0.0015379799532979632,7.305888001257525
BCE,0.5949747523746733,9.200255920913854,-0.0019323018184085328,3.853564288316294
BDX,0.16017470206089926,12.542479288182616,-0.0008496266968478494,4.242643991729709
BEN,0.30495143580144074,4.685477322653862,-0.0009564245945243854,1.7346218724242437
BH,0.09581713632623402,40.01388097859822,-0.0013403340734896574,12.407261544752554
BHP,0.8552244784155734,-19.72823607857518,-0.0017143963185581867,-5.042320717440254
BIO,0.22466015406207354,17.601520680296694,-0.0011901262365512366,5.9298844921249545
BK,0.16180593319913825,31.86325748149097,-0.0014955076937006595,10.439350179958272
BKH,0.3249952380157854,0.7832150338668352,-0.0009522212698015453,0.7525928117465581
BMI,0.5052286642827244,13.273796242753637,-0.0018511321148633186,5.027819091018291
BMY,-0.05767746897999101,25.54021445860425,-0.0006495690335555082,8.045061583251496
BN,0.21203103365525244,33.217723310994295,-0.0016581217028814876,10.764291331047469
BOH,-0.006170765727386106,8.553775929454048,-0.0002536233546894806,2.6835522850342914
BP,0.2768739463857657,3.2554315690122473,-0.0008584458640021886,1.383616542197953
BRO,0.03642728447137368,-25.426126619609065,0.0006818716969512195,-8.124422754081209
BRT,-0.03074311646372365,52.143882041746195,-0.0015277898103249754,16.28943955943901
BTI,0.39982061092169735,3.5093444131362674,-0.0012458536400319353,1.722632061685388
BXMT,-0.4716556176397695,117.90798089488383,-0.002591504678775891,36.919563082459575
C,-0.1821846536540343,47.21658619567381,-0.0010775495283610326,14.73082990853143
CACI,-0.17717436555247915,14.951120508578828,3.9473975990134136e-05,4.445139102668322
CAG,-0.18761481997139315,68.55597641768765,-0.0016275064323139077,21.477242561480136
CAH,0.23293035357472244,-5.765782113674739,-0.0004374734118659518,-1.6345809454327436
CAL,-0.5443669397535174,77.85275545288651,-0.0010049934434732677,23.75217673667263
CAT,0.3706330564755099,-2.784551517306633,-0.0009323114338193328,-0.3932788259302285
CBT,0.01479180252946219,49.61408697185297,-0.0015517244936447128,15.587715265946724
CCK,0.3821987036678616,-19.38176460413196,-0.00044275576411223483,-5.6822919818481505
CDE,0.377339782305912,43.766886907106525,-0.0023591250686081366,14.243833175438445
CFR,-0.0776934925018511,0.9680037558098679,0.00017990311073423637,0.15591377618440688
CHD,0.0067220544190165635,23.704299336889726,-0.0007896489908212345,7.633884828031106
CHE,0.8367947705863041,-68.74546255410732,-0.0001368270769148694,-20.65042114421783
CI,0.610829838261203,5.937941651273202,-0.0018124208422349852,2.54722889242877
